source_id,group,title,required_for_minimum,method,url,local_path,status,bytes,sha256,content_type,final_url,notes,error,started_at,finished_at
reps_sedes_c36g_9fc2,minsalud_reps,Registro Especial de Prestadores y Sedes de Servicios de Salud,True,direct,https://www.datos.gov.co/resource/c36g-9fc2.csv?%24limit=100000,minsalud_reps/reps_sedes_c36g_9fc2.csv,ok,32191578,249668c179092d6b15590f84cc00f3d41851749d67929e892e26f4603739af52,text/csv; charset=UTF-8,https://www.datos.gov.co/resource/c36g-9fc2.csv?%24limit=100000,No contiene coordenadas; se usa como padrón nacional de sedes/prestadores.,,2026-05-29T19:33:21-0500,2026-05-29T19:33:56-0500
reps_prestadores_kjjp_kasm,minsalud_reps,"Número de prestadores por departamento, clase, año y naturaleza jurídica",True,direct,https://www.datos.gov.co/resource/kjjp-kasm.csv?%24limit=5000,minsalud_reps/reps_prestadores_departamento_clase_naturaleza_kjjp_kasm.csv,ok,84069,2491aecf6c7cdbea398aa613e16040d4d4a14f6cd8e3b2ef4692b0abba88df2f,text/csv; charset=UTF-8,https://www.datos.gov.co/resource/kjjp-kasm.csv?%24limit=5000,Agregado oficial complementario para oferta territorial.,,2026-05-29T19:33:56-0500,2026-05-29T19:33:57-0500
reps_capacidad_instalada_minsalud,minsalud_reps,Servicios y capacidad instalada de IPS por departamento/distrito y naturaleza jurídica,True,direct,https://www.minsalud.gov.co/sites/rid/Lists/BibliotecaDigital/RIDE/VS/PSA/reporte-consolidado-departamento-naturaleza-ano-capacidad.zip,minsalud_reps/reporte_consolidado_departamento_naturaleza_ano_capacidad.zip,ok,44763,550d12766d047ea85344a73e5c18e8b6faba94117d704c008db077158f912a11,application/x-zip-compressed,https://www.minsalud.gov.co/sites/rid/Lists/BibliotecaDigital/RIDE/VS/PSA/reporte-consolidado-departamento-naturaleza-ano-capacidad.zip,ZIP enlazado desde SISPRO/Minsalud.,,2026-05-29T19:33:57-0500,2026-05-29T19:52:06-0500
rips_salud_mental_f_2019_2021,minsalud_rips,RIPS 2019-2021 filtrado a diagnósticos CIE-10 F*,True,direct,https://www.datos.gov.co/resource/5e6c-5p2c.csv?%24limit=600000&%24where=diagnostico+like+%27F%25%27,minsalud_rips/rips_salud_mental_f_2019_2021_5e6c_5p2c.csv,ok,68576998,fa9a0cf48e20b226f4d978e60bdba8adc4b7f421a019b6c321014e8506b147a7,text/csv; charset=UTF-8,https://www.datos.gov.co/resource/5e6c-5p2c.csv?%24limit=600000&%24where=diagnostico+like+%27F%25%27,"Dataset agregado en datos.gov.co; cubre 2019-2021, no 2022-2025.",,2026-05-29T19:33:58-0500,2026-05-29T19:36:07-0500
sivigila_intento_suicidio_2021,ins_sivigila,"SIVIGILA microdato intento de suicidio evento 356, 2021",True,direct,https://portalsivigila.ins.gov.co/Microdatos/Datos_2021_356.xls,ins_sivigila/Datos_2021_356.xls,ok,32646144,d9f6f5130fbbc8331c4bb83b8474c055f73e82be6228fc26d1eea88f4870427c,application/vnd.ms-excel,https://portalsivigila.ins.gov.co/Microdatos/Datos_2021_356.xls,Descarga directa encontrada en el buscador oficial del INS/SIVIGILA.,,2026-05-29T19:36:07-0500,2026-05-29T19:36:09-0500
sivigila_intento_suicidio_2022,ins_sivigila,"SIVIGILA microdato intento de suicidio evento 356, 2022",True,direct,https://portalsivigila.ins.gov.co/Microdatos/Datos_2022_356.xls,ins_sivigila/Datos_2022_356.xls,ok,40869888,98cd17a913f578a7e2ad9ab6059fc07d5e53d2f1d3da05d03be783ef3dd2d632,application/vnd.ms-excel,https://portalsivigila.ins.gov.co/Microdatos/Datos_2022_356.xls,Descarga directa encontrada en el buscador oficial del INS/SIVIGILA.,,2026-05-29T19:36:09-0500,2026-05-29T19:36:24-0500
sivigila_intento_suicidio_2023,ins_sivigila,"SIVIGILA microdato intento de suicidio evento 356, 2023",True,direct,https://portalsivigila.ins.gov.co/Microdatos/Datos_2023_356.xlsx,ins_sivigila/Datos_2023_356.xlsx,ok,13957727,8f20d9397d756e0143653c4138f535be2f52b233cabba242948f729832caee6e,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,https://portalsivigila.ins.gov.co/Microdatos/Datos_2023_356.xlsx,Descarga directa encontrada en el buscador oficial del INS/SIVIGILA.,,2026-05-29T19:36:24-0500,2026-05-29T19:36:25-0500
sivigila_intento_suicidio_2024,ins_sivigila,"SIVIGILA microdato intento de suicidio evento 356, 2024",True,direct,https://portalsivigila.ins.gov.co/Microdatos/Datos_2024_356.xlsx,ins_sivigila/Datos_2024_356.xlsx,ok,12921920,8f2567475da33f573c6652c561ad3fa4fdcb24ffaad015d8fe808f3d3918d198,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,https://portalsivigila.ins.gov.co/Microdatos/Datos_2024_356.xlsx,Descarga directa encontrada en el buscador oficial del INS/SIVIGILA.,,2026-05-29T19:36:25-0500,2026-05-29T19:36:26-0500
dane_poblacion_municipal_area_2018_2042,dane,DANE proyecciones municipales por área 2018-2042,True,direct,https://www.dane.gov.co/files/censo2018/proyecciones-de-poblacion/Municipal/PPED-AreaMun-2018-2042_VP.xlsx,dane/PPED_AreaMun_2018_2042_VP.xlsx,ok,3948350,1ea83594ad308becff39934a3977c102919c25740f60439be95d797396d11283,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,https://www.dane.gov.co/files/censo2018/proyecciones-de-poblacion/Municipal/PPED-AreaMun-2018-2042_VP.xlsx,,,2026-05-29T19:36:26-0500,2026-05-29T19:36:27-0500
dane_poblacion_municipal_area_sexo_edad_2018_2042,dane,"DANE proyecciones municipales por área, sexo y edad 2018-2042",True,direct,https://www.dane.gov.co/files/censo2018/proyecciones-de-poblacion/Municipal/PPED-AreaSexoEdadMun-2018-2042_VP.xlsx,dane/PPED_AreaSexoEdadMun_2018_2042_VP.xlsx,ok,131609579,7e461635315664d44ba52cc7f951947085a0ea6f2dda72fe2efed11a76880516,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,https://www.dane.gov.co/files/censo2018/proyecciones-de-poblacion/Municipal/PPED-AreaSexoEdadMun-2018-2042_VP.xlsx,,,2026-05-29T19:36:27-0500,2026-05-29T19:36:39-0500
dane_ipm_nacional_2025,dane,DANE pobreza multidimensional anexo nacional 2025,True,direct,https://www.dane.gov.co/files/operaciones/PM/anex-PMultidimensional-2025.xlsx,dane/anex_PMultidimensional_2025.xlsx,ok,449869,ae59a747adab22bb06fdd724262c0bcded0a9b256d477a1f0c366fbab00d09c0,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,https://www.dane.gov.co/files/operaciones/PM/anex-PMultidimensional-2025.xlsx,,,2026-05-29T19:36:39-0500,2026-05-29T19:36:39-0500
dane_ipm_departamental_2025,dane,DANE pobreza multidimensional anexo departamental 2025,True,direct,https://www.dane.gov.co/files/operaciones/PM/anex-PMultidimensional-Departamental-2025.xlsx,dane/anex_PMultidimensional_Departamental_2025.xlsx,ok,482244,73caab08046d6b35f80326b1b6f2e9b1cb8ad75a2ac4946515fda320ffaaf447,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,https://www.dane.gov.co/files/operaciones/PM/anex-PMultidimensional-Departamental-2025.xlsx,,,2026-05-29T19:36:39-0500,2026-05-29T19:36:39-0500
dane_mgn_municipio_2025_geojson,dane,"DANE MGN 2025 capa municipio, GeoJSON desde FeatureServer",True,arcgis_geojson,https://geoportal.dane.gov.co/mparcgis/rest/services/MGN2025/Serv_CapasMGN_2025/FeatureServer/317/query?where=1%3D1&outFields=%2A&outSR=4326&returnGeometry=true&f=geojson&resultRecordCount=2000,dane/MGN2025_municipio_317.geojson,ok,256093934,3f262f024000fb8a4d9f091aca29136f4beb14beb9cf9d980c4e882926caa558,application/geo+json,ArcGIS objectIds batched query; features=1122,Capa Municipio (317) del servicio oficial MGN2025; evita descargar el ZIP completo de 1.5 GB.,,2026-05-29T19:36:40-0500,2026-05-29T19:55:48-0500
