year,month,origen,ciudad_origen,destino,ciudad_destino,pasajeros,carga_correo_kg,rutas_rows
2020,1,7GC,TRINIDAD,EYP,EL YOPAL,5.0,70.0,1
2020,1,7GL,LA JAGUA IBIRICO,BAQ,BARRANQUILLA,269.0,2416.0,1
2020,1,7GL,LA JAGUA IBIRICO,EJA,BARRANCABERMEJA,0.0,0.0,1
2020,1,7GL,LA JAGUA IBIRICO,EOH,MEDELLIN,0.0,0.0,1
2020,1,7GS,CUMARIBO,LCH,LA CHORRERA,2.0,50.0,1
2020,1,7GS,CUMARIBO,PIM,LA PRIMAVERA,5.0,90.0,1
2020,1,7GV,PAZ DE ARIPORO,TME,TAME,2.0,10.0,1
2020,1,7GZ,MANI,VVC,VILLAVICENCIO,6.0,0.0,1
2020,1,7HD,LA PRIMAVERA,VVC,VILLAVICENCIO,3.0,0.0,1
2020,1,7HG,PAZ DE ARIPORO,9BY,OROCUE,0.0,0.0,1
2020,1,7HG,PAZ DE ARIPORO,CAR,PUERTO LOPEZ,1.0,4.0,1
2020,1,7HG,PAZ DE ARIPORO,EYP,EL YOPAL,48.0,184.0,2
2020,1,7HN,PAZ DE ARIPORO,VVC,VILLAVICENCIO,4.0,80.0,1
2020,1,7HT,PAZ DE ARIPORO,PIM,LA PRIMAVERA,0.0,0.0,1
2020,1,7HT,PAZ DE ARIPORO,PZA,PAZ DE ARIPORO,5.0,10.0,1
2020,1,7IK,SANTA ROSALIA,SRO,SANTA ROSALIA,2.0,39.0,1
2020,1,7IY,LA PRIMAVERA,VVC,VILLAVICENCIO,5.0,0.0,1
2020,1,7JJ,OROCUE,EYP,EL YOPAL,7.0,20.0,1
2020,1,7KA,CUMARIBO,PCR,PUERTO CARRENO,5.0,60.0,1
2020,1,7KA,CUMARIBO,VVC,VILLAVICENCIO,4.0,63.0,3
2020,1,7NS,PUERTO GAITAN,BOG,BOGOTA,93.0,978.0,1
2020,1,7NT,PUERTO GAITAN,BOG,BOGOTA,37.0,350.0,1
2020,1,9AR,MITU,MVP,MITU,0.0,0.0,1
2020,1,9BW,PUERTO LOPEZ,MDE,RIONEGRO - ANTIOQUIA,6.0,0.0,1
2020,1,9BY,OROCUE,7GC,TRINIDAD,0.0,0.0,1
2020,1,9BY,OROCUE,EYP,EL YOPAL,3.0,12.0,1
2020,1,9BY,OROCUE,ORC,OROCUE,8.0,10.0,2
2020,1,9CI,PAZ DE ARIPORO,VVC,VILLAVICENCIO,1.0,50.0,1
2020,1,9CU,TRINIDAD,GYM,CHIA,0.0,0.0,1
2020,1,9DE,LA PRIMAVERA,BMG,GUAINIA (BARRANCO MINAS),1.0,80.0,1
2020,1,9DI,SAN FELIPE,IDA,PUERTO INIRIDA,35.0,2085.0,3
2020,1,9DI,SAN FELIPE,PCE,PUERTO CARRENO,5.0,55.0,1
2020,1,9LQ,PUERTO GAITAN,VVC,VILLAVICENCIO,2.0,15.0,1
