year,codigo_localidad,localidad_residencia,saludata_conducta_total,saludata_intento_suicidio,saludata_ideacion_suicida
2012,1,Usaquén,210,143,67
2012,2,Chapinero,90,82,8
2012,3,Santa Fe,66,33,33
2012,4,San Cristóbal,186,102,84
2012,5,Usme,217,123,94
2012,6,Tunjuelito,103,49,54
2012,7,Bosa,415,219,196
2012,8,Kennedy,288,180,108
2012,9,Fontibón,274,105,169
2012,10,Engativá,325,151,174
2012,11,Suba,380,172,208
2012,12,Barrios Unidos,84,76,8
2012,13,Teusaquillo,51,49,2
2012,14,Los Mártires,62,31,31
2012,15,Antonio Nariño,40,24,16
2012,16,Puente Aranda,77,52,25
2012,17,La Candelaria,5,4,1
2012,18,Rafael Uribe Uribe,264,116,148
2012,19,Ciudad Bolívar,460,214,246
2012,20,Sumapaz,7,5,2
2013,1,Usaquén,212,132,80
2013,2,Chapinero,87,27,60
2013,3,Santa Fe,90,48,42
2013,4,San Cristóbal,271,131,140
2013,5,Usme,440,172,268
2013,6,Tunjuelito,187,67,120
2013,7,Bosa,655,252,403
2013,8,Kennedy,508,268,240
2013,9,Fontibón,279,87,192
2013,10,Engativá,348,153,195
2013,11,Suba,434,242,192
2013,12,Barrios Unidos,82,34,48
2013,13,Teusaquillo,82,40,42
2013,14,Los Mártires,79,42,37
2013,15,Antonio Nariño,54,18,36
2013,16,Puente Aranda,136,74,62
2013,17,La Candelaria,16,9,7
2013,18,Rafael Uribe Uribe,334,115,219
2013,19,Ciudad Bolívar,665,273,392
2013,20,Sumapaz,24,4,20
2014,1,Usaquén,286,175,111
2014,2,Chapinero,116,74,42
2014,3,Santa Fe,137,59,78
2014,4,San Cristóbal,545,192,353
2014,5,Usme,703,286,417
2014,6,Tunjuelito,313,140,173
2014,7,Bosa,896,335,561
2014,8,Kennedy,627,352,275
2014,9,Fontibón,452,179,273
2014,10,Engativá,562,195,367
2014,11,Suba,617,305,312
2014,12,Barrios Unidos,161,96,65
2014,13,Teusaquillo,117,79,38
2014,14,Los Mártires,123,54,69
2014,15,Antonio Nariño,113,44,69
2014,16,Puente Aranda,122,67,55
2014,17,La Candelaria,42,23,19
2014,18,Rafael Uribe Uribe,484,201,283
2014,19,Ciudad Bolívar,815,385,430
2014,20,Sumapaz,29,5,24
2015,1,Usaquén,334,207,127
2015,2,Chapinero,126,75,51
2015,3,Santa Fe,137,76,61
2015,4,San Cristóbal,564,211,353
2015,5,Usme,620,229,391
2015,6,Tunjuelito,353,166,187
2015,7,Bosa,946,448,498
2015,8,Kennedy,868,441,427
2015,9,Fontibón,474,191,283
2015,10,Engativá,585,112,473
2015,11,Suba,825,389,436
2015,12,Barrios Unidos,156,96,60
2015,13,Teusaquillo,98,63,35
2015,14,Los Mártires,141,73,68
2015,15,Antonio Nariño,137,57,80
2015,16,Puente Aranda,190,81,109
2015,17,La Candelaria,32,14,18
2015,18,Rafael Uribe Uribe,703,287,416
2015,19,Ciudad Bolívar,1224,524,700
2015,20,Sumapaz,17,2,15
2016,1,Usaquén,308,170,138
2016,2,Chapinero,96,48,48
2016,3,Santa Fe,87,43,44
2016,4,San Cristóbal,433,156,277
2016,5,Usme,715,244,471
2016,6,Tunjuelito,255,84,171
2016,7,Bosa,792,354,438
2016,8,Kennedy,750,253,497
2016,9,Fontibón,549,126,423
2016,10,Engativá,601,224,377
2016,11,Suba,955,383,572
2016,12,Barrios Unidos,132,72,60
2016,13,Teusaquillo,97,44,53
2016,14,Los Mártires,115,52,63
2016,15,Antonio Nariño,91,33,58
2016,16,Puente Aranda,179,74,105
2016,17,La Candelaria,18,10,8
2016,18,Rafael Uribe Uribe,561,206,355
2016,19,Ciudad Bolívar,1273,443,830
2016,20,Sumapaz,22,3,19
2017,1,Usaquén,386,223,163
2017,2,Chapinero,129,68,61
2017,3,Santa Fe,153,73,80
2017,4,San Cristóbal,443,201,242
2017,5,Usme,769,294,475
2017,6,Tunjuelito,365,161,204
2017,7,Bosa,1266,439,827
2017,8,Kennedy,1255,515,740
2017,9,Fontibón,580,232,348
2017,10,Engativá,769,383,386
