departamento,year,ipm_domain,ipm_pct,cod_dpto
Antioquia,2018,Cabeceras,9.6,05
Antioquia,2018,Centros poblados  y rural disperso,35.4,05
Antioquia,2018,Total,15.3,05
Antioquia,2019,Cabeceras,10.2,05
Antioquia,2019,Centros poblados  y rural disperso,35.9,05
Antioquia,2019,Total,15.7,05
Antioquia,2020,Cabeceras,10.2,05
Antioquia,2020,Centros poblados  y rural disperso,32.7,05
Antioquia,2020,Total,14.9,05
Antioquia,2021,Cabeceras,10.8,05
Antioquia,2021,Centros poblados  y rural disperso,28.0,05
Antioquia,2021,Total,14.3,05
Antioquia,2022,Cabeceras,7.0,05
Antioquia,2022,Centros poblados  y rural disperso,25.8,05
Antioquia,2022,Total,10.7,05
Antioquia,2023,Cabeceras,5.9,05
Antioquia,2023,Centros poblados  y rural disperso,24.2,05
Antioquia,2023,Total,9.5,05
Antioquia,2024,Cabeceras,8.4,05
Antioquia,2024,Centros poblados  y rural disperso,21.2,05
Antioquia,2024,Total,10.9,05
Antioquia,2025,Cabeceras,6.2,05
Antioquia,2025,Centros poblados  y rural disperso,23.2,05
Antioquia,2025,Total,9.5,05
Atlántico,2018,Cabeceras,20.0,08
Atlántico,2018,Centros poblados  y rural disperso,39.5,08
Atlántico,2018,Total,21.1,08
Atlántico,2019,Cabeceras,13.7,08
Atlántico,2019,Centros poblados  y rural disperso,38.0,08
Atlántico,2019,Total,14.9,08
Atlántico,2020,Cabeceras,13.1,08
Atlántico,2020,Centros poblados  y rural disperso,33.9,08
Atlántico,2020,Total,14.1,08
Atlántico,2021,Cabeceras,14.8,08
Atlántico,2021,Centros poblados  y rural disperso,29.6,08
Atlántico,2021,Total,15.5,08
Atlántico,2022,Cabeceras,9.4,08
Atlántico,2022,Centros poblados  y rural disperso,25.0,08
Atlántico,2022,Total,10.2,08
Atlántico,2023,Cabeceras,11.3,08
Atlántico,2023,Centros poblados  y rural disperso,25.7,08
Atlántico,2023,Total,12.0,08
Atlántico,2024,Cabeceras,8.6,08
Atlántico,2024,Centros poblados  y rural disperso,26.4,08
Atlántico,2024,Total,9.5,08
Atlántico,2025,Cabeceras,7.3,08
Atlántico,2025,Centros poblados  y rural disperso,25.9,08
Atlántico,2025,Total,8.2,08
Bogotá D.C.,2018,Cabeceras,4.1,11
Bogotá D.C.,2018,Centros poblados  y rural disperso,19.2,11
Bogotá D.C.,2018,Total,4.1,11
Bogotá D.C.,2019,Cabeceras,7.1,11
Bogotá D.C.,2019,Centros poblados  y rural disperso,16.5,11
Bogotá D.C.,2019,Total,7.1,11
Bogotá D.C.,2020,Cabeceras,7.5,11
Bogotá D.C.,2020,Centros poblados  y rural disperso,15.4,11
Bogotá D.C.,2020,Total,7.5,11
Bogotá D.C.,2021,Cabeceras,5.7,11
Bogotá D.C.,2021,Centros poblados  y rural disperso,19.4,11
Bogotá D.C.,2021,Total,5.7,11
Bogotá D.C.,2022,Cabeceras,3.8,11
Bogotá D.C.,2022,Centros poblados  y rural disperso,10.1,11
Bogotá D.C.,2022,Total,3.8,11
Bogotá D.C.,2023,Cabeceras,3.6,11
Bogotá D.C.,2023,Centros poblados  y rural disperso,11.7,11
Bogotá D.C.,2023,Total,3.6,11
Bogotá D.C.,2024,Cabeceras,5.4,11
Bogotá D.C.,2024,Centros poblados  y rural disperso,10.8,11
Bogotá D.C.,2024,Total,5.4,11
Bogotá D.C.,2025,Cabeceras,2.2,11
