cod_dpto,departamento,cod_mpio,municipio,year,area_geografica,population
05,Antioquia,05001,Medellín,2019,Cabecera Municipal,2409046
05,Antioquia,05001,Medellín,2019,Centros Poblados y Rural Disperso,46290
05,Antioquia,05001,Medellín,2019,Total,2455336
05,Antioquia,05001,Medellín,2020,Cabecera Municipal,2441882
05,Antioquia,05001,Medellín,2020,Centros Poblados y Rural Disperso,48073
05,Antioquia,05001,Medellín,2020,Total,2489955
05,Antioquia,05001,Medellín,2021,Cabecera Municipal,2459249
05,Antioquia,05001,Medellín,2021,Centros Poblados y Rural Disperso,48371
05,Antioquia,05001,Medellín,2021,Total,2507620
05,Antioquia,05001,Medellín,2022,Cabecera Municipal,2466239
05,Antioquia,05001,Medellín,2022,Centros Poblados y Rural Disperso,48470
05,Antioquia,05001,Medellín,2022,Total,2514709
05,Antioquia,05001,Medellín,2023,Cabecera Municipal,2469958
05,Antioquia,05001,Medellín,2023,Centros Poblados y Rural Disperso,48522
05,Antioquia,05001,Medellín,2023,Total,2518480
05,Antioquia,05001,Medellín,2024,Cabecera Municipal,2476134
05,Antioquia,05001,Medellín,2024,Centros Poblados y Rural Disperso,48613
05,Antioquia,05001,Medellín,2024,Total,2524747
05,Antioquia,05001,Medellín,2025,Cabecera Municipal,2479683
05,Antioquia,05001,Medellín,2025,Centros Poblados y Rural Disperso,48660
05,Antioquia,05001,Medellín,2025,Total,2528343
05,Antioquia,05002,Abejorral,2019,Cabecera Municipal,7847
05,Antioquia,05002,Abejorral,2019,Centros Poblados y Rural Disperso,12765
05,Antioquia,05002,Abejorral,2019,Total,20612
05,Antioquia,05002,Abejorral,2020,Cabecera Municipal,8034
05,Antioquia,05002,Abejorral,2020,Centros Poblados y Rural Disperso,12844
05,Antioquia,05002,Abejorral,2020,Total,20878
05,Antioquia,05002,Abejorral,2021,Cabecera Municipal,8154
05,Antioquia,05002,Abejorral,2021,Centros Poblados y Rural Disperso,12808
05,Antioquia,05002,Abejorral,2021,Total,20962
05,Antioquia,05002,Abejorral,2022,Cabecera Municipal,8254
05,Antioquia,05002,Abejorral,2022,Centros Poblados y Rural Disperso,12746
05,Antioquia,05002,Abejorral,2022,Total,21000
05,Antioquia,05002,Abejorral,2023,Cabecera Municipal,8350
05,Antioquia,05002,Abejorral,2023,Centros Poblados y Rural Disperso,12680
05,Antioquia,05002,Abejorral,2023,Total,21030
05,Antioquia,05002,Abejorral,2024,Cabecera Municipal,8361
05,Antioquia,05002,Abejorral,2024,Centros Poblados y Rural Disperso,12760
