cod_dpto,departamento,cod_mpio,municipio,year,population_total,sedes_reps,prestadores_reps,reps_rows,sedes_ips_reps,sedes_publicas_reps,sedes_privadas_reps,fecha_corte_reps,rips_f_atenciones,rips_f_rows,rips_f_diagnosticos_distinct,rips_f_tipos_atencion_distinct,sivigila_intento_suicidio,sivigila_intento_suicidio_confirmados,sivigila_intento_suicidio_occurrence_mpio_distinct,departamento_ipm,ipm_total_pct,capacidad_salud_mental_reps,capacidad_salud_mental_reps_per_100k_dept,capacity_baseline_source_year,capacidad_salud_mental_reps_baseline,department_population_total,capacidad_salud_mental_reps_baseline_per_100k_dept,capacity_access_per_100k_dept_for_proxy,reps_source_static_cut_2026,rips_source_available,sivigila_microdata_available,sedes_reps_per_100k,prestadores_reps_per_100k,rips_f_atenciones_per_100k,sivigila_intento_confirmados_per_100k,z_need_sivigila,z_need_ipm,z_access_reps,z_access_capacity,need_proxy_z,access_proxy_z,brecha_proxy_z,analysis_eligible_population
05,Antioquia,05001,Medellín,2021,2507620,10056.0,8077.0,10056.0,1200.0,83.0,9968.0,Fecha corte REPS: Mar 12 2026  3:11PM,237849.0,832.0,308.0,4.0,2202.0,2202.0,23.0,Antioquia,14.3,,,2020,606.0,6721140,9.0163275872843,9.0163275872843,True,True,True,401.0176980563243,322.09824455060976,9485.04956891395,87.81234796340753,1.0534701464256127,-0.4398431594451328,5.386051157926304,-0.6423664678863457,0.3068134934902399,2.3718423450199793,-2.0650288515297395,True
05,Antioquia,05001,Medellín,2022,2514709,10056.0,8077.0,10056.0,1200.0,83.0,9968.0,Fecha corte REPS: Mar 12 2026  3:11PM,,,,,2568.0,2568.0,18.0,Antioquia,10.7,,,2020,606.0,6777249,8.941681204276248,8.941681204276248,True,False,True,399.88722353162933,321.19024507408216,,102.11917164172873,0.9951850669249267,-0.5107888765212991,5.449831886652216,-0.6412964454504829,0.2421980952018138,2.4042677206008665,-2.162069625399053,True
05,Antioquia,05001,Medellín,2023,2518480,10056.0,8077.0,10056.0,1200.0,83.0,9968.0,Fecha corte REPS: Mar 12 2026  3:11PM,,,,,2885.0,2885.0,22.0,Antioquia,9.5,,,2020,606.0,6826125,8.87765752897874,8.87765752897874,True,False,True,399.28845970585434,320.70931673072647,,114.55322257869825,1.1274337161339492,-0.5797766122186857,5.509577547502459,-0.6401467370722275,0.2738285519576317,2.4347154052151154,-2.160886853257484,True
05,Antioquia,05001,Medellín,2024,2524747,10056.0,8077.0,10056.0,1200.0,83.0,9968.0,Fecha corte REPS: Mar 12 2026  3:11PM,,,,,2811.0,2811.0,34.0,Antioquia,10.9,,,2020,606.0,6880799,8.807116731647008,8.807116731647008,True,False,True,398.2973343467682,319.91324279224807,,111.33788850922488,1.2391077868621247,-0.27387395015539306,5.566236576836976,-0.6391705051005323,0.48261691835336584,2.463533035868222,-1.9809161175148562,True
05,Antioquia,05001,Medellín,2025,2528343,10056.0,8077.0,10056.0,1200.0,83.0,9968.0,Fecha corte REPS: Mar 12 2026  3:11PM,,,,,,,,Antioquia,9.5,,,2020,606.0,6928372,8.746643511635922,8.746643511635922,True,False,False,397.7308458543797,319.4582380634273,,,,,,,,,,True
05,Antioquia,05002,Abejorral,2021,20962,20.0,17.0,20.0,4.0,4.0,16.0,Fecha corte REPS: Mar 12 2026  3:11PM,680.0,87.0,43.0,4.0,20.0,20.0,2.0,Antioquia,14.3,,,2020,606.0,6721140,9.0163275872843,9.0163275872843,True,True,True,95.41074324968992,81.09913176223642,3243.9652704894575,95.41074324968992,1.258832557095532,-0.4398431594451328,0.446657066174446,-0.6423664678863457,0.4094946988251996,-0.09785470085594983,0.5073493996811494,True
05,Antioquia,05002,Abejorral,2022,21000,20.0,17.0,20.0,4.0,4.0,16.0,Fecha corte REPS: Mar 12 2026  3:11PM,,,,,38.0,38.0,2.0,Antioquia,10.7,,,2020,606.0,6777249,8.941681204276248,8.941681204276248,True,False,True,95.23809523809524,80.95238095238096,,180.95238095238093,2.8082404296060828,-0.5107888765212991,0.45997950121354597,-0.6412964454504829,1.148725776542392,-0.09065847211846847,1.2393842486608604,True
05,Antioquia,05002,Abejorral,2023,21030,20.0,17.0,20.0,4.0,4.0,16.0,Fecha corte REPS: Mar 12 2026  3:11PM,,,,,62.0,62.0,1.0,Antioquia,9.5,,,2020,606.0,6826125,8.87765752897874,8.87765752897874,True,False,True,95.10223490252021,80.83689966714218,,294.8169281978127,5.013103721681593,-0.5797766122186857,0.4716443973827724,-0.6401467370722275,2.2166635547314537,-0.08425116984472752,2.3009147245761814,True
05,Antioquia,05002,Abejorral,2024,21121,20.0,17.0,20.0,4.0,4.0,16.0,Fecha corte REPS: Mar 12 2026  3:11PM,,,,,56.0,56.0,2.0,Antioquia,10.9,,,2020,606.0,6880799,8.807116731647008,8.807116731647008,True,False,True,94.6924861512239,80.48861322854032,,265.1389612234269,4.9196340004612145,-0.27387395015539306,0.47997411828631725,-0.6391705051005323,2.3228800251529105,-0.07959819340710753,2.402478218560018,True
05,Antioquia,05002,Abejorral,2025,21147,20.0,17.0,20.0,4.0,4.0,16.0,Fecha corte REPS: Mar 12 2026  3:11PM,,,,,,,,Antioquia,9.5,,,2020,606.0,6928372,8.746643511635922,8.746643511635922,True,False,False,94.5760627985057,80.38965337872985,,,,,,,,,,True
05,Antioquia,05004,Abriaquí,2021,2797,1.0,1.0,1.0,1.0,1.0,0.0,Fecha corte REPS: Mar 12 2026  3:11PM,8.0,7.0,4.0,2.0,2.0,2.0,1.0,Antioquia,14.3,,,2020,606.0,6721140,9.0163275872843,9.0163275872843,True,True,True,35.75259206292456,35.75259206292456,286.0207365033965,71.50518412584913,0.6127351819106498,-0.4398431594451328,-0.5175720354937297,-0.6423664678863457,0.0864460112327585,-0.5799692516900377,0.6664152629227962,True
05,Antioquia,05004,Abriaquí,2022,2792,1.0,1.0,1.0,1.0,1.0,0.0,Fecha corte REPS: Mar 12 2026  3:11PM,,,,,1.0,1.0,1.0,Antioquia,10.7,,,2020,606.0,6777249,8.941681204276248,8.941681204276248,True,False,True,35.816618911174785,35.816618911174785,,35.816618911174785,-0.5296824329364259,-0.5107888765212991,-0.5132857008141618,-0.6412964454504829,-0.5202356547288625,-0.5772910731323224,0.057055418403459957,True
05,Antioquia,05004,Abriaquí,2023,2782,1.0,1.0,1.0,1.0,1.0,0.0,Fecha corte REPS: Mar 12 2026  3:11PM,,,,,1.0,1.0,1.0,Antioquia,9.5,,,2020,606.0,6826125,8.87765752897874,8.87765752897874,True,False,True,35.94536304816679,35.94536304816679,,35.94536304816679,-0.566996124465647,-0.5797766122186857,-0.5081118883106838,-0.6401467370722275,-0.5733863683421663,-0.5741293126914556,0.0007429443492893428,True
05,Antioquia,05004,Abriaquí,2024,2810,1.0,1.0,1.0,1.0,1.0,0.0,Fecha corte REPS: Mar 12 2026  3:11PM,,,,,2.0,2.0,2.0,Antioquia,10.9,,,2020,606.0,6880799,8.807116731647008,8.807116731647008,True,False,True,35.587188612099645,35.587188612099645,,71.17437722419929,0.2779775846729072,-0.27387395015539306,-0.510211176057498,-0.6391705051005323,0.002051817258757055,-0.5746908405790152,0.5767426578377722,True
05,Antioquia,05004,Abriaquí,2025,2807,1.0,1.0,1.0,1.0,1.0,0.0,Fecha corte REPS: Mar 12 2026  3:11PM,,,,,,,,Antioquia,9.5,,,2020,606.0,6928372,8.746643511635922,8.746643511635922,True,False,False,35.62522265764161,35.62522265764161,,,,,,,,,,True
05,Antioquia,05021,Alejandría,2021,4962,2.0,2.0,2.0,1.0,1.0,1.0,Fecha corte REPS: Mar 12 2026  3:11PM,62.0,32.0,18.0,3.0,3.0,3.0,2.0,Antioquia,14.3,,,2020,606.0,6721140,9.0163275872843,9.0163275872843,True,True,True,40.306328093510686,40.306328093510686,1249.4961708988312,60.45949214026602,0.3142024196349214,-0.4398431594451328,-0.44397195378385373,-0.6423664678863457,-0.0628203699051057,-0.5431692108350997,0.480348840929994,True
05,Antioquia,05021,Alejandría,2022,5042,2.0,2.0,2.0,1.0,1.0,1.0,Fecha corte REPS: Mar 12 2026  3:11PM,,,,,3.0,3.0,1.0,Antioquia,10.7,,,2020,606.0,6777249,8.941681204276248,8.941681204276248,True,False,True,39.666798889329634,39.666798889329634,,59.50019833399445,0.015007312102612025,-0.5107888765212991,-0.4502235484424233,-0.6412964454504829,-0.24789078220934355,-0.545759996946453,0.2978692147371095,True
05,Antioquia,05021,Alejandría,2023,5130,2.0,2.0,2.0,1.0,1.0,1.0,Fecha corte REPS: Mar 12 2026  3:11PM,,,,,3.0,3.0,1.0,Antioquia,9.5,,,2020,606.0,6826125,8.87765752897874,8.87765752897874,True,False,True,38.98635477582846,38.98635477582846,,58.47953216374269,-0.08126137973926985,-0.5797766122186857,-0.4577469743704436,-0.6401467370722275,-0.33051899597897777,-0.5489468557213355,0.21842785974235773,True
05,Antioquia,05021,Alejandría,2024,5196,2.0,2.0,2.0,1.0,1.0,1.0,Fecha corte REPS: Mar 12 2026  3:11PM,,,,,2.0,2.0,1.0,Antioquia,10.9,,,2020,606.0,6880799,8.807116731647008,8.807116731647008,True,False,True,38.49114703618167,38.49114703618167,,38.49114703618167,-0.5041462544476519,-0.27387395015539306,-0.46156144334938537,-0.6391705051005323,-0.3890101023015225,-0.5503659742249588,0.1613558719234363,True
