cod_mpio,year,sivigila_intento_suicidio,sivigila_intento_suicidio_confirmados,sivigila_intento_suicidio_occurrence_mpio_distinct
01004,2021,2,2,1
01004,2024,1,1,1
01012,2024,1,1,1
01051,2022,1,1,1
01076,2021,2,2,2
01076,2022,2,2,1
01076,2023,1,1,1
01076,2024,4,4,2
01112,2024,1,1,1
01140,2021,9,9,1
01140,2022,1,1,1
01152,2022,2,2,2
01174,2021,1,1,1
01178,2021,1,1,1
01178,2024,1,1,1
01180,2022,1,1,1
01180,2024,1,1,1
01218,2021,1,1,1
01218,2022,2,2,2
01218,2023,1,1,1
01218,2024,2,2,1
01296,2022,1,1,1
01376,2022,1,1,1
01474,2021,1,1,1
01528,2024,1,1,1
01578,2024,1,1,1
01604,2022,2,2,1
01604,2024,2,2,1
01646,2021,1,1,1
01702,2024,1,1,1
01705,2021,1,1,1
01706,2024,1,1,1
01724,2023,1,1,1
01760,2022,1,1,1
01840,2021,6,6,2
01840,2023,2,2,2
01840,2024,3,3,2
01862,2021,16,16,3
01862,2022,33,33,2
01862,2023,16,16,1
01862,2024,16,16,3
27086,2022,3,3,1
27086,2023,2,2,1
