cod_dpto,departamento,year,capacidad_salud_mental_reps,capacidad_rows_reps,camas_cuidado_agudo_mental,camas_cuidado_intermedio_mental,camas_farmacodependencia,camas_psiquiatria
05,Antioquia,2017,1140.0,3,28.0,0.0,292.0,820.0
05,Antioquia,2018,744.0,3,28.0,0.0,257.0,459.0
05,Antioquia,2019,689.0,3,28.0,0.0,266.0,395.0
05,Antioquia,2020,606.0,3,28.0,0.0,239.0,339.0
08,Atlántico,2017,1269.0,2,72.0,2.0,378.0,817.0
08,Atlántico,2018,1399.0,2,70.0,0.0,660.0,669.0
08,Atlántico,2019,1479.0,3,21.0,0.0,865.0,593.0
08,Atlántico,2020,1465.0,3,21.0,0.0,937.0,507.0
11,Bogotá D.C,2017,1557.0,2,52.0,84.0,124.0,1297.0
11,Bogotá D.C,2018,1337.0,2,52.0,59.0,146.0,1080.0
11,Bogotá D.C,2019,1306.0,2,45.0,59.0,171.0,1031.0
11,Bogotá D.C,2020,1134.0,2,61.0,59.0,161.0,853.0
13,Bolívar,2017,751.0,2,11.0,4.0,315.0,421.0
13,Bolívar,2018,901.0,2,47.0,4.0,477.0,373.0
13,Bolívar,2019,774.0,2,47.0,4.0,386.0,337.0
13,Bolívar,2020,816.0,2,47.0,4.0,428.0,337.0
15,Boyacá,2017,62.0,2,42.0,0.0,0.0,20.0
15,Boyacá,2018,78.0,2,42.0,0.0,36.0,0.0
15,Boyacá,2019,95.0,2,42.0,0.0,53.0,0.0
15,Boyacá,2020,101.0,2,42.0,0.0,59.0,0.0
17,Caldas,2017,258.0,3,26.0,48.0,30.0,154.0
17,Caldas,2018,258.0,3,26.0,48.0,30.0,154.0
17,Caldas,2019,296.0,3,26.0,48.0,68.0,154.0
17,Caldas,2020,306.0,3,26.0,48.0,78.0,154.0
18,Caquetá,2017,144.0,2,10.0,0.0,47.0,87.0
18,Caquetá,2018,144.0,2,10.0,0.0,47.0,87.0
18,Caquetá,2019,144.0,2,10.0,0.0,47.0,87.0
18,Caquetá,2020,150.0,2,10.0,0.0,47.0,93.0
19,Cauca,2017,148.0,2,7.0,0.0,66.0,75.0
19,Cauca,2018,168.0,2,7.0,0.0,86.0,75.0
19,Cauca,2019,188.0,2,7.0,0.0,106.0,75.0
19,Cauca,2020,261.0,2,7.0,0.0,161.0,93.0
20,Cesar,2017,359.0,2,10.0,34.0,115.0,200.0
20,Cesar,2018,502.0,2,10.0,34.0,258.0,200.0
20,Cesar,2019,616.0,2,10.0,34.0,412.0,160.0
20,Cesar,2020,606.0,2,10.0,34.0,430.0,132.0
23,Córdoba,2017,317.0,2,54.0,0.0,39.0,224.0
23,Córdoba,2018,372.0,2,54.0,0.0,54.0,264.0
23,Córdoba,2019,396.0,2,54.0,0.0,110.0,232.0
23,Córdoba,2020,385.0,2,54.0,0.0,138.0,193.0
25,Cundinamarca,2017,182.0,2,18.0,0.0,24.0,140.0
25,Cundinamarca,2018,176.0,2,18.0,0.0,24.0,134.0
25,Cundinamarca,2019,177.0,2,19.0,0.0,24.0,134.0
25,Cundinamarca,2020,184.0,2,19.0,0.0,79.0,86.0
27,Chocó,2017,0.0,2,0.0,0.0,0.0,0.0
27,Chocó,2018,0.0,3,0.0,0.0,0.0,0.0
27,Chocó,2019,0.0,3,0.0,0.0,0.0,0.0
27,Chocó,2020,0.0,3,0.0,0.0,0.0,0.0
41,Huila,2017,32.0,2,0.0,0.0,0.0,32.0
41,Huila,2018,32.0,2,0.0,0.0,0.0,32.0
41,Huila,2019,32.0,2,0.0,0.0,0.0,32.0
41,Huila,2020,32.0,2,0.0,0.0,0.0,32.0
44,La Guajira,2017,156.0,2,0.0,11.0,17.0,128.0
44,La Guajira,2018,196.0,2,0.0,6.0,85.0,105.0
44,La Guajira,2019,240.0,2,0.0,6.0,129.0,105.0
44,La Guajira,2020,242.0,2,0.0,6.0,131.0,105.0
47,Magdalena,2017,296.0,2,13.0,0.0,38.0,245.0
47,Magdalena,2018,483.0,2,13.0,0.0,220.0,250.0
47,Magdalena,2019,529.0,2,13.0,0.0,306.0,210.0
47,Magdalena,2020,512.0,2,14.0,0.0,333.0,165.0
50,Meta,2017,490.0,3,0.0,0.0,215.0,275.0
50,Meta,2018,500.0,3,0.0,0.0,270.0,230.0
50,Meta,2019,492.0,3,0.0,0.0,302.0,190.0
50,Meta,2020,474.0,3,0.0,0.0,307.0,167.0
52,Nariño,2017,612.0,2,261.0,0.0,70.0,281.0
52,Nariño,2018,472.0,2,139.0,0.0,68.0,265.0
52,Nariño,2019,472.0,2,139.0,0.0,68.0,265.0
52,Nariño,2020,472.0,2,139.0,0.0,68.0,265.0
54,Norte de Santander,2017,201.0,2,19.0,64.0,50.0,68.0
54,Norte de Santander,2018,221.0,2,19.0,64.0,70.0,68.0
54,Norte de Santander,2019,221.0,2,19.0,64.0,70.0,68.0
54,Norte de Santander,2020,236.0,2,19.0,64.0,85.0,68.0
63,Quindío,2017,271.0,2,0.0,0.0,87.0,184.0
63,Quindío,2018,284.0,2,0.0,0.0,91.0,193.0
63,Quindío,2019,284.0,2,0.0,0.0,91.0,193.0
63,Quindío,2020,306.0,2,0.0,0.0,91.0,215.0
66,Risaralda,2017,133.0,3,0.0,0.0,2.0,131.0
66,Risaralda,2018,133.0,3,0.0,0.0,2.0,131.0
66,Risaralda,2019,133.0,3,0.0,0.0,2.0,131.0
66,Risaralda,2020,132.0,3,0.0,0.0,2.0,130.0
68,Santander,2017,471.0,2,166.0,0.0,169.0,136.0
68,Santander,2018,470.0,2,166.0,0.0,169.0,135.0
68,Santander,2019,430.0,2,159.0,0.0,130.0,141.0
68,Santander,2020,304.0,2,3.0,0.0,160.0,141.0
70,Sucre,2017,302.0,3,12.0,0.0,146.0,144.0
70,Sucre,2018,335.0,3,12.0,0.0,187.0,136.0
70,Sucre,2019,359.0,3,12.0,0.0,219.0,128.0
70,Sucre,2020,372.0,3,12.0,0.0,232.0,128.0
73,Tolima,2017,197.0,2,0.0,0.0,30.0,167.0
73,Tolima,2018,197.0,2,0.0,0.0,30.0,167.0
73,Tolima,2019,167.0,2,0.0,0.0,30.0,137.0
73,Tolima,2020,220.0,2,0.0,0.0,75.0,145.0
76,Valle del cauca,2017,680.0,3,43.0,0.0,39.0,598.0
76,Valle del cauca,2018,499.0,3,15.0,0.0,34.0,450.0
76,Valle del cauca,2019,515.0,3,13.0,0.0,52.0,450.0
76,Valle del cauca,2020,501.0,3,12.0,0.0,54.0,435.0
81,Arauca,2017,0.0,2,0.0,0.0,0.0,0.0
81,Arauca,2018,0.0,2,0.0,0.0,0.0,0.0
