cod_mpio,sedes_reps,prestadores_reps,reps_rows,sedes_ips_reps,sedes_publicas_reps,sedes_privadas_reps,fecha_corte_reps
05001,10056,8077,10056,1200,83,9968,Fecha corte REPS: Mar 12 2026  3:11PM
05002,20,17,20,4,4,16,Fecha corte REPS: Mar 12 2026  3:11PM
05004,1,1,1,1,1,0,Fecha corte REPS: Mar 12 2026  3:11PM
05021,2,2,2,1,1,1,Fecha corte REPS: Mar 12 2026  3:11PM
05030,40,40,40,6,1,39,Fecha corte REPS: Mar 12 2026  3:11PM
05031,21,21,21,2,1,20,Fecha corte REPS: Mar 12 2026  3:11PM
05034,75,67,75,15,7,68,Fecha corte REPS: Mar 12 2026  3:11PM
05036,3,3,3,1,1,2,Fecha corte REPS: Mar 12 2026  3:11PM
05038,3,3,3,1,1,2,Fecha corte REPS: Mar 12 2026  3:11PM
05040,14,13,14,3,2,12,Fecha corte REPS: Mar 12 2026  3:11PM
05042,48,45,48,6,3,45,Fecha corte REPS: Mar 12 2026  3:11PM
05044,4,4,4,1,1,3,Fecha corte REPS: Mar 12 2026  3:11PM
05045,222,189,222,76,0,221,Fecha corte REPS: Mar 12 2026  3:11PM
05051,19,19,19,6,1,18,Fecha corte REPS: Mar 12 2026  3:11PM
05055,2,2,2,1,1,1,Fecha corte REPS: Mar 12 2026  3:11PM
05059,2,2,2,1,1,1,Fecha corte REPS: Mar 12 2026  3:11PM
05079,72,69,72,6,1,71,Fecha corte REPS: Mar 12 2026  3:11PM
05086,6,6,6,1,1,5,Fecha corte REPS: Mar 12 2026  3:11PM
05088,569,510,569,95,11,558,Fecha corte REPS: Mar 12 2026  3:11PM
05091,6,6,6,1,1,5,Fecha corte REPS: Mar 12 2026  3:11PM
05093,8,7,8,2,2,6,Fecha corte REPS: Mar 12 2026  3:11PM
05101,40,37,40,5,3,37,Fecha corte REPS: Mar 12 2026  3:11PM
05107,7,4,7,4,4,3,Fecha corte REPS: Mar 12 2026  3:11PM
05113,3,3,3,2,1,2,Fecha corte REPS: Mar 12 2026  3:11PM
05120,6,5,6,2,2,4,Fecha corte REPS: Mar 12 2026  3:11PM
05125,10,10,10,1,1,9,Fecha corte REPS: Mar 12 2026  3:11PM
05129,151,142,151,13,2,149,Fecha corte REPS: Mar 12 2026  3:11PM
05134,3,3,3,1,1,2,Fecha corte REPS: Mar 12 2026  3:11PM
05138,6,6,6,1,1,5,Fecha corte REPS: Mar 12 2026  3:11PM
05142,2,2,2,1,1,1,Fecha corte REPS: Mar 12 2026  3:11PM
05145,8,8,8,1,1,7,Fecha corte REPS: Mar 12 2026  3:11PM
05147,37,31,37,17,4,33,Fecha corte REPS: Mar 12 2026  3:11PM
05148,138,133,138,4,1,137,Fecha corte REPS: Mar 12 2026  3:11PM
05150,4,4,4,1,1,3,Fecha corte REPS: Mar 12 2026  3:11PM
05154,138,120,138,34,1,137,Fecha corte REPS: Mar 12 2026  3:11PM
05172,48,41,48,12,1,47,Fecha corte REPS: Mar 12 2026  3:11PM
05190,5,5,5,3,1,4,Fecha corte REPS: Mar 12 2026  3:11PM
05197,8,8,8,1,1,7,Fecha corte REPS: Mar 12 2026  3:11PM
05206,6,6,6,1,1,5,Fecha corte REPS: Mar 12 2026  3:11PM
05209,30,30,30,3,1,29,Fecha corte REPS: Mar 12 2026  3:11PM
05212,137,132,137,10,1,136,Fecha corte REPS: Mar 12 2026  3:11PM
05234,13,13,13,2,1,12,Fecha corte REPS: Mar 12 2026  3:11PM
05237,36,34,36,2,1,35,Fecha corte REPS: Mar 12 2026  3:11PM
05240,5,4,5,2,2,3,Fecha corte REPS: Mar 12 2026  3:11PM
05250,25,22,25,7,3,22,Fecha corte REPS: Mar 12 2026  3:11PM
05264,26,26,26,3,1,25,Fecha corte REPS: Mar 12 2026  3:11PM
05266,929,849,929,100,7,921,Fecha corte REPS: Mar 12 2026  3:11PM
05282,25,25,25,4,1,24,Fecha corte REPS: Mar 12 2026  3:11PM
05284,24,20,24,5,4,20,Fecha corte REPS: Mar 12 2026  3:11PM
