cod_mpio,year,rips_f_atenciones,rips_f_rows,rips_f_diagnosticos_distinct,rips_f_tipos_atencion_distinct
05001,2019,860989,1831,376,4
05001,2020,165395,819,341,4
05001,2021,237849,832,308,4
05002,2019,1398,141,74,4
05002,2020,483,71,41,4
05002,2021,680,87,43,4
05004,2019,33,22,20,4
05004,2020,22,19,13,4
05004,2021,8,7,4,2
05021,2019,126,67,42,4
05021,2020,147,39,27,4
05021,2021,62,32,18,3
05030,2019,3354,259,122,4
05030,2020,2412,188,128,4
05030,2021,942,125,77,4
05031,2019,766,100,77,4
05031,2020,344,57,46,4
05031,2021,954,105,69,3
05034,2019,2149,201,89,4
05034,2020,932,148,105,4
05034,2021,569,115,71,4
05036,2019,80,39,23,4
05036,2020,58,22,17,3
05036,2021,109,41,24,4
05038,2019,1317,168,84,4
05038,2020,970,126,74,4
05038,2021,1083,160,91,4
05040,2019,1310,158,102,4
05040,2020,646,151,112,4
05040,2021,1992,194,87,4
05042,2019,3035,299,110,4
05042,2020,2747,323,140,4
05042,2021,2208,279,109,4
05044,2019,99,17,16,2
05044,2020,48,20,14,3
05044,2021,38,16,14,3
05045,2019,13332,619,245,4
05045,2020,8348,363,178,4
05045,2021,8292,399,176,4
05051,2019,384,72,53,4
05051,2020,166,42,33,3
05051,2021,145,56,50,2
05055,2019,178,38,26,3
05055,2020,90,28,20,4
05055,2021,60,27,18,3
05059,2019,422,68,30,4
05059,2020,448,115,51,4
05059,2021,446,103,51,4
05079,2019,8494,613,195,4
05079,2020,4549,421,159,4
05079,2021,3467,269,141,4
05086,2019,318,88,43,4
05086,2020,225,78,37,4
05086,2021,165,47,26,4
05088,2019,81128,814,277,4
05088,2020,34884,413,217,4
05088,2021,48082,677,252,4
05091,2019,824,203,62,4
05091,2020,282,91,50,4
05091,2021,121,60,33,4
05093,2019,1305,268,106,4
05093,2020,335,88,48,4
05093,2021,354,94,48,3
05101,2019,8441,476,132,4
05101,2020,4737,335,129,4
05101,2021,5785,390,159,4
05107,2019,351,148,56,4
05107,2020,376,92,39,4
05107,2021,188,91,51,4
05113,2019,425,118,43,4
05113,2020,117,50,26,3
05113,2021,105,50,25,4
05120,2019,1035,170,67,4
05120,2020,895,180,70,4
05120,2021,1610,235,95,4
05125,2019,715,153,67,3
05125,2020,151,61,41,4
05125,2021,217,57,31,3
05129,2019,9780,392,173,4
05129,2020,9858,429,192,4
05129,2021,10840,434,188,4
05134,2019,344,100,58,4
05134,2020,112,36,20,3
05134,2021,88,35,18,3
05138,2019,989,204,91,4
05138,2020,153,82,49,3
05138,2021,295,116,50,4
05142,2019,352,95,40,3
05142,2020,207,84,27,4
05142,2021,102,48,15,3
05145,2019,776,161,57,3
05145,2020,365,102,39,4
05145,2021,134,67,24,3
05147,2019,3732,349,184,4
05147,2020,2403,317,152,4
05147,2021,2991,339,136,4
05148,2019,4720,317,172,4
05148,2020,4863,274,154,4
05148,2021,2432,198,91,4
05150,2019,611,78,51,4
05150,2020,542,66,48,4
05150,2021,646,95,52,4
