cod_mpio,year,month,sivigila_intento_suicidio,sivigila_intento_suicidio_confirmados
05001,2021,1,146,146
05001,2021,2,170,170
05001,2021,3,185,185
05001,2021,4,126,126
05001,2021,5,177,177
05001,2021,6,157,157
05001,2021,7,180,180
05001,2021,8,214,214
05001,2021,9,240,240
05001,2021,10,227,227
05001,2021,11,204,204
05001,2021,12,176,176
05001,2022,1,133,133
05001,2022,2,197,197
05001,2022,3,285,285
05001,2022,4,211,211
05001,2022,5,237,237
05001,2022,6,186,186
05001,2022,7,197,197
05001,2022,8,224,224
05001,2022,9,251,251
05001,2022,10,248,248
05001,2022,11,215,215
05001,2022,12,184,184
05001,2023,1,185,185
05001,2023,2,209,209
05001,2023,3,279,279
05001,2023,4,277,277
05001,2023,5,274,274
05001,2023,6,224,224
05001,2023,7,214,214
05001,2023,8,281,281
05001,2023,9,274,274
05001,2023,10,263,263
05001,2023,11,225,225
05001,2023,12,180,180
05001,2024,1,195,195
05001,2024,2,229,229
05001,2024,3,262,262
05001,2024,4,283,283
05001,2024,5,236,236
05001,2024,6,206,206
05001,2024,7,227,227
05001,2024,8,227,227
05001,2024,9,279,279
05001,2024,10,244,244
05001,2024,11,218,218
05001,2024,12,205,205
05002,2021,1,2,2
05002,2021,3,1,1
05002,2021,4,1,1
05002,2021,5,1,1
05002,2021,6,3,3
05002,2021,7,5,5
05002,2021,8,2,2
05002,2021,9,1,1
05002,2021,11,1,1
05002,2021,12,3,3
05002,2022,4,3,3
05002,2022,5,2,2
05002,2022,6,1,1
05002,2022,7,5,5
05002,2022,8,9,9
05002,2022,9,2,2
05002,2022,10,5,5
05002,2022,11,5,5
05002,2022,12,6,6
05002,2023,1,4,4
05002,2023,2,3,3
05002,2023,3,6,6
05002,2023,4,3,3
05002,2023,5,7,7
05002,2023,6,6,6
05002,2023,7,7,7
05002,2023,8,10,10
05002,2023,9,5,5
05002,2023,10,3,3
05002,2023,11,4,4
05002,2023,12,4,4
05002,2024,1,2,2
05002,2024,2,8,8
05002,2024,3,3,3
05002,2024,4,4,4
05002,2024,5,8,8
05002,2024,6,3,3
05002,2024,7,6,6
05002,2024,8,7,7
05002,2024,9,7,7
05002,2024,10,5,5
05002,2024,11,2,2
05002,2024,12,1,1
05004,2021,7,1,1
05004,2021,12,1,1
05004,2022,7,1,1
05004,2023,6,1,1
05004,2024,7,1,1
05004,2024,8,1,1
05021,2021,1,1,1
05021,2021,7,1,1
05021,2021,8,1,1
05021,2022,8,1,1
05021,2022,9,2,2
05021,2023,5,2,2
05021,2023,7,1,1
05021,2024,9,1,1
05021,2024,10,1,1
05030,2021,2,1,1
05030,2021,3,1,1
05030,2021,4,2,2
05030,2021,7,1,1
05030,2021,8,1,1
05030,2021,9,1,1
05030,2021,10,1,1
05030,2021,11,2,2
05030,2021,12,1,1
05030,2022,1,1,1
05030,2022,2,1,1
05030,2022,3,1,1
05030,2022,7,1,1
05030,2022,10,2,2
05030,2023,7,1,1
05030,2023,10,1,1
05030,2024,4,1,1
05030,2024,5,1,1
05030,2024,6,1,1
05030,2024,7,1,1
05030,2024,8,1,1
05030,2024,9,1,1
05030,2024,10,3,3
05030,2024,12,1,1
05031,2021,1,2,2
05031,2021,4,1,1
05031,2021,7,1,1
05031,2021,8,3,3
05031,2021,9,4,4
05031,2021,10,3,3
05031,2021,11,1,1
05031,2021,12,1,1
05031,2022,2,2,2
05031,2022,3,2,2
05031,2022,4,3,3
05031,2022,5,1,1
05031,2022,6,2,2
05031,2022,7,2,2
05031,2022,9,1,1
05031,2022,10,1,1
05031,2022,11,1,1
05031,2022,12,1,1
05031,2023,2,1,1
05031,2023,4,2,2
05031,2023,5,3,3
05031,2023,6,3,3
05031,2023,7,1,1
05031,2023,8,2,2
05031,2023,11,2,2
05031,2023,12,2,2
05031,2024,1,1,1
05031,2024,2,2,2
05031,2024,3,1,1
05031,2024,4,3,3
05031,2024,5,1,1
05031,2024,7,2,2
05031,2024,8,1,1
05031,2024,10,1,1
05031,2024,11,3,3
05031,2024,12,2,2
05034,2021,1,2,2
05034,2021,2,2,2
05034,2021,3,7,7
05034,2021,4,5,5
05034,2021,5,1,1
05034,2021,8,2,2
05034,2021,9,1,1
05034,2021,11,2,2
05034,2021,12,1,1
05034,2022,1,3,3
05034,2022,3,2,2
05034,2022,4,2,2
05034,2022,6,2,2
05034,2022,7,1,1
05034,2022,8,1,1
05034,2022,9,5,5
05034,2022,10,5,5
05034,2022,11,2,2
05034,2023,1,2,2
05034,2023,3,3,3
05034,2023,5,2,2
05034,2023,6,4,4
05034,2023,7,2,2
05034,2023,8,2,2
05034,2023,9,2,2
05034,2023,10,1,1
05034,2023,11,2,2
05034,2024,3,2,2
05034,2024,4,1,1
05034,2024,5,3,3
05034,2024,6,2,2
05034,2024,7,2,2
05034,2024,8,3,3
05034,2024,9,2,2
05034,2024,10,3,3
05034,2024,11,2,2
05034,2024,12,1,1
05036,2021,1,1,1
05036,2021,2,1,1
05036,2021,4,1,1
05036,2022,3,1,1
05036,2022,6,1,1
05036,2022,8,1,1
05036,2022,9,1,1
05036,2023,3,1,1
05036,2023,8,2,2
05036,2024,1,1,1
05036,2024,7,1,1
05036,2024,9,1,1
05036,2024,10,1,1
05038,2021,2,1,1
05038,2021,7,1,1
05038,2021,8,1,1
05038,2021,10,2,2
05038,2021,11,1,1
05038,2022,1,1,1
05038,2022,2,3,3
05038,2022,3,4,4
05038,2022,4,2,2
05038,2022,5,1,1
05038,2022,6,2,2
05038,2022,7,1,1
05038,2023,5,3,3
05038,2023,6,1,1
05038,2023,8,1,1
05038,2023,9,1,1
05038,2024,4,2,2
05038,2024,5,2,2
05038,2024,7,1,1
05038,2024,9,1,1
05038,2024,12,1,1
05040,2021,3,4,4
05040,2022,5,2,2
05040,2022,6,1,1
05040,2022,8,1,1
05040,2022,10,2,2
05040,2022,12,2,2
05040,2023,1,1,1
05040,2023,6,1,1
05040,2024,2,1,1
05040,2024,9,1,1
05042,2021,2,1,1
05042,2021,3,1,1
05042,2021,9,2,2
05042,2021,10,1,1
05042,2021,11,2,2
05042,2021,12,1,1
05042,2022,1,1,1
05042,2022,6,1,1
05042,2022,8,2,2
05042,2022,9,1,1
05042,2022,10,1,1
05042,2022,11,1,1
05042,2022,12,1,1
05042,2023,1,2,2
05042,2023,3,2,2
05042,2023,4,1,1
05042,2023,5,1,1
05042,2023,6,2,2
05042,2023,7,1,1
05042,2023,8,1,1
05042,2023,9,2,2
05042,2023,11,1,1
05042,2024,1,3,3
05042,2024,2,1,1
05042,2024,3,2,2
05042,2024,4,1,1
05042,2024,6,1,1
05042,2024,9,2,2
05042,2024,11,1,1
05044,2021,3,1,1
05044,2021,7,1,1
05044,2021,8,1,1
05044,2021,10,1,1
05044,2021,12,1,1
05044,2022,4,1,1
05044,2022,6,1,1
05044,2023,3,1,1
05044,2023,4,1,1
05044,2023,5,2,2
05044,2023,11,2,2
05044,2024,1,1,1
05044,2024,5,1,1
05044,2024,9,1,1
05044,2024,10,1,1
05044,2024,12,2,2
05045,2021,1,2,2
05045,2021,2,4,4
05045,2021,3,4,4
05045,2021,4,4,4
05045,2021,5,5,5
05045,2021,6,6,6
05045,2021,7,8,8
05045,2021,8,8,8
05045,2021,9,3,3
05045,2021,10,8,8
05045,2021,11,4,4
05045,2021,12,1,1
05045,2022,1,1,1
05045,2022,2,5,5
05045,2022,4,5,5
05045,2022,5,9,9
05045,2022,6,6,6
05045,2022,7,6,6
05045,2022,8,5,5
05045,2022,9,2,2
05045,2022,10,9,9
05045,2022,11,3,3
05045,2022,12,12,12
05045,2023,1,4,4
05045,2023,2,5,5
05045,2023,3,14,14
05045,2023,4,8,8
05045,2023,5,5,5
05045,2023,6,7,7
05045,2023,7,8,8
05045,2023,8,8,8
05045,2023,9,13,13
05045,2023,10,4,4
05045,2023,11,3,3
05045,2023,12,9,9
05045,2024,1,3,3
05045,2024,2,8,8
05045,2024,3,8,8
05045,2024,4,9,9
05045,2024,5,3,3
05045,2024,6,9,9
05045,2024,7,10,10
05045,2024,8,11,11
05045,2024,9,6,6
05045,2024,10,5,5
05045,2024,11,8,8
05045,2024,12,6,6
05051,2021,7,1,1
05051,2021,8,2,2
05051,2021,9,2,2
05051,2021,11,1,1
05051,2021,12,1,1
05051,2022,1,1,1
05051,2022,3,1,1
05051,2022,4,1,1
05051,2022,5,1,1
05051,2022,6,2,2
05051,2022,9,2,2
05051,2022,10,2,2
05051,2022,11,1,1
05051,2022,12,1,1
05051,2023,1,3,3
05051,2023,2,1,1
05051,2023,3,2,2
05051,2023,5,1,1
05051,2023,7,3,3
05051,2023,8,2,2
05051,2023,9,2,2
05051,2023,10,4,4
05051,2023,11,1,1
05051,2023,12,1,1
05051,2024,7,1,1
05051,2024,9,1,1
05051,2024,10,1,1
05051,2024,12,1,1
05055,2021,3,1,1
05055,2021,6,1,1
05055,2021,8,1,1
05055,2022,6,1,1
05055,2022,8,1,1
05055,2022,12,1,1
05055,2023,3,1,1
05055,2023,4,1,1
05055,2023,5,1,1
05055,2023,7,1,1
05055,2023,9,3,3
05055,2023,10,2,2
05055,2024,3,1,1
05055,2024,8,1,1
05055,2024,10,1,1
05059,2021,2,1,1
05059,2021,3,1,1
