cod_mpio,year,sivigila_intento_suicidio,sivigila_intento_suicidio_confirmados,sivigila_intento_suicidio_occurrence_mpio_distinct
05001,2021,2202,2202,23
05001,2022,2568,2568,18
05001,2023,2885,2885,22
05001,2024,2811,2811,34
05002,2021,20,20,2
05002,2022,38,38,2
05002,2023,62,62,1
05002,2024,56,56,2
05004,2021,2,2,1
05004,2022,1,1,1
05004,2023,1,1,1
05004,2024,2,2,2
05021,2021,3,3,2
05021,2022,3,3,1
05021,2023,3,3,1
05021,2024,2,2,1
05030,2021,11,11,2
05030,2022,6,6,1
05030,2023,2,2,1
05030,2024,10,10,2
05031,2021,16,16,2
05031,2022,16,16,1
05031,2023,16,16,1
05031,2024,17,17,2
05034,2021,23,23,2
05034,2022,23,23,2
05034,2023,20,20,2
05034,2024,21,21,2
05036,2021,3,3,1
05036,2022,4,4,1
05036,2023,3,3,2
05036,2024,4,4,2
05038,2021,6,6,1
05038,2022,14,14,1
05038,2023,6,6,1
05038,2024,7,7,1
05040,2021,4,4,1
05040,2022,8,8,1
05040,2023,2,2,1
05040,2024,2,2,1
05042,2021,8,8,2
05042,2022,8,8,3
05042,2023,13,13,5
05042,2024,11,11,3
05044,2021,5,5,1
05044,2022,2,2,1
05044,2023,6,6,1
05044,2024,6,6,1
05045,2021,57,57,1
05045,2022,63,63,1
05045,2023,88,88,5
05045,2024,86,86,2
05051,2021,7,7,1
05051,2022,12,12,1
05051,2023,20,20,1
05051,2024,4,4,1
05055,2021,3,3,1
05055,2022,3,3,1
05055,2023,9,9,1
05055,2024,3,3,1
05059,2021,3,3,1
05059,2022,2,2,1
05059,2023,2,2,1
05059,2024,4,4,1
05079,2021,32,32,2
05079,2022,32,32,1
05079,2023,45,45,2
05079,2024,47,47,3
05086,2021,1,1,1
05086,2022,2,2,1
05086,2023,2,2,1
05088,2021,364,364,4
05088,2022,478,478,7
05088,2023,619,619,9
05088,2024,574,574,3
05091,2021,1,1,1
05091,2022,3,3,1
05091,2023,3,3,1
05091,2024,4,4,1
05093,2021,9,9,1
05093,2022,13,13,1
05093,2023,19,19,3
05093,2024,10,10,1
05101,2021,16,16,1
05101,2022,12,12,2
05101,2023,16,16,2
05101,2024,10,10,1
05107,2021,4,4,1
05107,2022,4,4,1
05107,2023,6,6,1
05107,2024,1,1,1
05113,2021,2,2,1
05113,2022,3,3,1
05113,2023,10,10,1
05120,2021,7,7,1
05120,2022,14,14,1
05120,2023,8,8,1
05120,2024,11,11,1
05125,2021,2,2,1
05125,2022,6,6,2
05125,2023,3,3,1
05125,2024,4,4,1
05129,2021,7,7,2
05129,2022,33,33,3
05129,2023,64,64,3
05129,2024,40,40,5
05134,2021,5,5,1
05134,2022,4,4,1
05134,2023,6,6,1
05134,2024,6,6,1
05138,2021,6,6,1
05138,2022,13,13,1
05138,2023,5,5,1
05138,2024,18,18,1
05142,2021,1,1,1
05142,2022,2,2,1
05142,2023,3,3,1
05142,2024,1,1,1
05145,2022,2,2,1
05145,2023,5,5,1
05145,2024,4,4,1
05147,2021,26,26,2
05147,2022,32,32,1
05147,2023,40,40,2
05147,2024,17,17,2
05148,2021,41,41,1
05148,2022,57,57,2
05148,2023,67,67,2
05148,2024,61,61,1
05150,2022,3,3,1
05150,2023,4,4,1
05150,2024,6,6,2
05154,2021,52,52,2
05154,2022,76,76,1
05154,2023,73,73,2
05154,2024,59,59,1
05172,2021,44,44,2
05172,2022,46,46,1
05172,2023,51,51,1
05172,2024,57,57,1
05190,2021,8,8,1
05190,2022,12,12,1
05190,2023,9,9,1
05190,2024,6,6,2
05197,2021,10,10,1
05197,2022,9,9,1
05197,2023,6,6,1
05197,2024,7,7,2
05206,2022,4,4,1
05206,2023,2,2,1
05206,2024,1,1,1
05209,2021,15,15,1
05209,2022,9,9,2
05209,2023,10,10,2
05209,2024,7,7,1
05212,2021,18,18,3
05212,2022,54,54,3
05212,2023,96,96,3
05212,2024,82,82,3
05234,2021,1,1,1
05234,2022,6,6,1
05234,2023,4,4,1
05237,2021,18,18,1
05237,2022,18,18,1
05237,2023,15,15,1
05237,2024,23,23,3
05240,2021,3,3,2
05240,2022,6,6,1
05240,2023,6,6,1
05240,2024,1,1,1
05250,2021,18,18,3
05250,2022,21,21,2
05250,2023,13,13,1
05250,2024,22,22,2
05264,2021,2,2,1
05264,2022,16,16,2
05264,2023,6,6,1
05264,2024,12,12,2
05266,2021,251,251,3
05266,2022,249,249,4
05266,2023,238,238,5
05266,2024,210,210,9
05282,2021,16,16,1
05282,2022,20,20,1
05282,2023,21,21,1
05282,2024,19,19,2
05284,2021,14,14,1
05284,2022,20,20,1
05284,2023,13,13,1
05284,2024,1,1,1
05306,2021,6,6,1
05306,2022,4,4,1
05306,2023,3,3,1
05308,2021,29,29,2
05308,2022,27,27,2
05308,2023,31,31,1
05308,2024,43,43,3
05310,2021,5,5,1
05310,2022,14,14,1
05310,2023,5,5,1
05310,2024,9,9,1
05313,2021,4,4,1
05313,2022,8,8,1
05313,2023,10,10,2
05313,2024,5,5,1
05315,2021,1,1,1
05315,2022,1,1,1
05318,2021,48,48,1
05318,2022,57,57,2
05318,2023,56,56,2
05318,2024,59,59,1
05321,2021,8,8,2
05321,2022,12,12,1
05321,2023,25,25,2
05321,2024,17,17,1
05347,2022,2,2,1
05347,2023,6,6,1
05347,2024,3,3,1
05353,2021,3,3,1
05353,2022,3,3,1
05353,2023,13,13,1
05353,2024,4,4,1
05360,2021,117,117,2
05360,2022,197,197,2
05360,2023,194,194,3
05360,2024,175,175,7
05361,2021,15,15,1
05361,2022,16,16,1
05361,2023,10,10,1
05361,2024,8,8,1
05364,2021,7,7,1
05364,2022,3,3,1
05364,2023,3,3,1
05364,2024,10,10,1
05368,2021,2,2,2
05368,2022,2,2,2
05368,2023,5,5,1
05368,2024,2,2,1
05376,2021,72,72,3
05376,2022,90,90,2
05376,2023,85,85,6
05376,2024,92,92,2
05380,2021,18,18,2
05380,2022,23,23,4
05380,2023,45,45,2
05380,2024,74,74,3
05390,2021,5,5,1
05390,2022,5,5,1
05390,2023,10,10,3
05390,2024,10,10,1
05400,2021,29,29,1
05400,2022,42,42,1
05400,2023,51,51,1
05400,2024,34,34,1
05411,2021,10,10,1
05411,2022,8,8,1
05411,2023,4,4,1
05411,2024,2,2,1
05425,2022,7,7,1
05425,2023,11,11,1
05425,2024,5,5,1
05440,2021,25,25,1
05440,2022,46,46,1
05440,2023,66,66,1
05440,2024,82,82,2
05467,2021,3,3,1
05467,2022,2,2,1
05467,2024,1,1,1
05475,2021,1,1,1
05475,2024,4,4,1
05480,2022,7,7,1
05480,2023,4,4,1
05480,2024,5,5,1
05483,2021,7,7,1
05483,2022,8,8,1
05483,2023,5,5,1
05483,2024,9,9,1
05490,2021,24,24,1
05490,2022,26,26,1
05490,2023,40,40,2
05490,2024,28,28,1
05495,2021,7,7,1
05495,2022,13,13,1
05495,2023,17,17,1
05495,2024,13,13,1
05501,2021,2,2,1
05501,2022,3,3,1
05501,2023,2,2,1
05501,2024,1,1,1
05541,2021,16,16,1
05541,2022,26,26,1
05541,2023,28,28,1
05541,2024,34,34,2
05543,2021,4,4,1
05543,2022,8,8,1
05543,2023,5,5,1
05543,2024,13,13,1
05576,2021,1,1,1
05576,2022,7,7,1
05576,2023,15,15,1
05576,2024,9,9,1
05579,2021,7,7,3
05579,2022,21,21,1
05579,2023,13,13,1
05579,2024,6,6,1
05585,2021,1,1,1
05585,2022,5,5,1
05585,2023,6,6,1
05585,2024,3,3,1
05591,2021,9,9,1
05591,2022,5,5,1
05591,2023,13,13,1
05591,2024,15,15,1
05604,2021,9,9,1
05604,2022,11,11,1
05604,2023,11,11,1
05604,2024,9,9,1
05607,2021,16,16,1
05607,2022,17,17,1
05607,2023,14,14,1
05607,2024,16,16,1
05615,2021,135,135,2
05615,2022,217,217,3
05615,2023,248,248,3
05615,2024,222,222,7
05628,2021,2,2,1
05628,2022,1,1,1
05628,2023,5,5,1
05628,2024,1,1,1
05631,2021,31,31,1
05631,2022,56,56,3
05631,2023,86,86,4
05631,2024,89,89,5
05642,2021,10,10,1
05642,2022,8,8,1
05642,2023,5,5,1
05642,2024,16,16,2
05647,2021,2,2,1
05647,2022,2,2,1
05647,2023,2,2,2
05647,2024,6,6,1
05649,2021,2,2,1
05649,2022,3,3,1
05649,2023,9,9,1
05649,2024,9,9,1
05652,2021,3,3,1
05652,2022,4,4,1
05652,2023,3,3,1
05652,2024,3,3,1
05656,2021,13,13,1
05656,2022,14,14,2
05656,2023,5,5,2
05656,2024,8,8,1
05658,2022,5,5,1
05658,2023,2,2,1
05658,2024,7,7,1
05659,2021,6,6,1
05659,2022,11,11,1
05659,2023,4,4,1
05659,2024,10,10,1
05660,2021,12,12,1
05660,2022,19,19,1
05660,2023,11,11,1
05660,2024,7,7,1
05664,2021,25,25,1
05664,2022,10,10,2
05664,2023,13,13,1
05664,2024,39,39,2
05665,2021,7,7,1
05665,2022,9,9,1
05665,2023,9,9,1
05665,2024,10,10,1
05667,2021,3,3,1
05667,2022,8,8,1
05667,2023,6,6,1
05667,2024,4,4,1
05670,2021,9,9,1
05670,2022,6,6,1
05670,2023,6,6,1
