codigo_habilitacion,sede_nombre,direccion,latitud,longitud,serv_codigo,serv_nombre,especificidad_salud_mental,especificidad_spa,especificidad_sustancias,modalidad_telemedicina,clpr_nombre,naju_nombre,grse_nombre,complejidades,razon_social,cod_mpio,has_valid_coordinate
7611101705,E.S.E. HOSPITAL DIVINO NIÑO EMPRESA SOCIAL DEL ESTADO,CARRERA 15 N° 26 - 50,3.9151764,-76.2965277,344,PSICOLOGÍA,NO,NO,NO,NO,INSTITUCIONES PRESTADORAS DE SERVICIOS DE SALUD - IPS,Pública,CONSULTA EXTERNA,BAJA,E.S.E. HOSPITAL DIVINO NIÑO EMPRESA SOCIAL DEL ESTADO,76111,True
7611101705,CENTRO DE SALUD LUIS EDUARDO DOMINGUEZ,CARRERA 17 N° 8-84,3.9027821,-76.3034026,344,PSICOLOGÍA,NO,NO,NO,NO,INSTITUCIONES PRESTADORAS DE SERVICIOS DE SALUD - IPS,Pública,CONSULTA EXTERNA,BAJA,E.S.E. HOSPITAL DIVINO NIÑO EMPRESA SOCIAL DEL ESTADO,76111,True
7611101705,E.S.E. HOSPITAL DIVINO NIÑO EMPRESA SOCIAL DEL ESTADO,CARRERA 15 N° 26 - 50,3.9151764,-76.2965277,345,PSIQUIATRÍA,NO,NO,NO,NO,INSTITUCIONES PRESTADORAS DE SERVICIOS DE SALUD - IPS,Pública,CONSULTA EXTERNA,MEDIANA,E.S.E. HOSPITAL DIVINO NIÑO EMPRESA SOCIAL DEL ESTADO,76111,True
7611102506,FRESIA LILIANA PARRA RODRÍGUEZ,CALLE 3 N° 16 - 29,3.897196,-76.304748,344,PSICOLOGÍA,NO,NO,NO,SI,PROFESIONAL INDEPENDIENTE,Privada,CONSULTA EXTERNA,BAJA,FRESIA LILIANA PARRA RODRIGUEZ,76111,True
7611103406,URGENCIAS MEDICAS SAS,CALLE 4 N° 22 - 10,3.8995563,-76.3101384,344,PSICOLOGÍA,NO,NO,NO,NO,INSTITUCIONES PRESTADORAS DE SERVICIOS DE SALUD - IPS,Privada,CONSULTA EXTERNA,BAJA,URGENCIAS MEDICAS S.A.S.,76111,True
7611103495,FUNDACION SAN JOSE DE BUGA,CARRERA 8 N° 17-52,3.9071248,-76.2931738,344,PSICOLOGÍA,NO,NO,NO,NO,INSTITUCIONES PRESTADORAS DE SERVICIOS DE SALUD - IPS,Privada,CONSULTA EXTERNA,BAJA,FUNDACION SAN JOSE DE BUGA,76111,True
7611103495,FUNDACION SAN JOSE DE BUGA,CARRERA 8 N° 17-52,3.9071248,-76.2931738,345,PSIQUIATRÍA,NO,NO,NO,NO,INSTITUCIONES PRESTADORAS DE SERVICIOS DE SALUD - IPS,Privada,CONSULTA EXTERNA,MEDIANA,FUNDACION SAN JOSE DE BUGA,76111,True
7611106697,MEDICIPS BUGA,CARRERA 14 N° 3-07,3.8967437,-76.3027274,344,PSICOLOGÍA,NO,NO,NO,NO,INSTITUCIONES PRESTADORAS DE SERVICIOS DE SALUD - IPS,Privada,CONSULTA EXTERNA,BAJA,+IPSMEDIC S.A.S,76111,True
7611107110,LABORATORIO CLINICO LOPEZ LINEA OCUPACIONAL,CARRERA 15 N° 4-61,3.8984365,-76.3031954,344,PSICOLOGÍA,NO,NO,NO,NO,INSTITUCIONES PRESTADORAS DE SERVICIOS DE SALUD - IPS,Privada,CONSULTA EXTERNA,BAJA,LABORATORIO CLINICO LOPEZ S.A.S.,76111,True
7611107130,CENTRO DE RECONOCIMIENTO DE CONDUCTORES BUGA LTDA,CALLE 6  N° 16-40,3.900188,-76.303821,344,PSICOLOGÍA,NO,NO,NO,NO,INSTITUCIONES PRESTADORAS DE SERVICIOS DE SALUD - IPS,Privada,CONSULTA EXTERNA,BAJA,CENTRO DE RECONOCIMIENTO DE CONDUCTORES BUGA LTDA,76111,True
7611108151,CENTRO DE REHABILITACION Y NEURODESARROLLO IDEAL SAS,CALLE 6 N° 16-58,3.9003687,-76.3040108,344,PSICOLOGÍA,NO,NO,NO,NO,INSTITUCIONES PRESTADORAS DE SERVICIOS DE SALUD - IPS,Privada,CONSULTA EXTERNA,BAJA,CENTRO DE REHABILITACION Y NEURODESARROLLO IDEAL S.A.S,76111,True
7611108210,PROWORK ESPECIALISTA EN SALUD OCUPACIONAL,CARRERA 19 N° 1-27,3.896965,-76.3076339,344,PSICOLOGÍA,NO,NO,NO,NO,INSTITUCIONES PRESTADORAS DE SERVICIOS DE SALUD - IPS,Privada,CONSULTA EXTERNA,BAJA,PROWORK ESPECIALISTAS EN SALUD OCUPACIONAL S.A.S,76111,True
7611109210,BERSEBA IPS SAS,CARRERA 7 N° 3-34,3.895002,-76.296583,344,PSICOLOGÍA,NO,NO,NO,NO,INSTITUCIONES PRESTADORAS DE SERVICIOS DE SALUD - IPS,Privada,CONSULTA EXTERNA,BAJA,BERSEBA IPS SAS,76111,True
7611109294,REDES IMAT SEDE DOS,CARRERA 13 N° 2 -51,3.8961203,-76.302016,344,PSICOLOGÍA,NO,NO,NO,NO,INSTITUCIONES PRESTADORAS DE SERVICIOS DE SALUD - IPS,Privada,CONSULTA EXTERNA,BAJA,REDES IMAT CLINICA DE FRACTURAS S.A.S.,76111,True
7611109631,REDCONOCER CENTRO DE RECONOCIMIENTO DE CONDUCTORES,CARRERA 18 N° 4-37,3.899012,-76.305983,344,PSICOLOGÍA,NO,NO,NO,NO,INSTITUCIONES PRESTADORAS DE SERVICIOS DE SALUD - IPS,Privada,CONSULTA EXTERNA,BAJA,REDCONOCER LTDA,76111,True
7611109966,ADRIANA LIBREROS ORTIZ,CARRERA 5 SUR N° 15 SUR - 06,3.9045085,-76.2909884,344,PSICOLOGÍA,NO,NO,NO,NO,PROFESIONAL INDEPENDIENTE,Privada,CONSULTA EXTERNA,BAJA,ADRIANA LIBREROS ORTIZ,76111,True
7611110397,DACARE IPS,CALLE 9 SUR N° 13A-81,3.888828,-76.296197,344,PSICOLOGÍA,NO,NO,NO,NO,INSTITUCIONES PRESTADORAS DE SERVICIOS DE SALUD - IPS,Privada,CONSULTA EXTERNA,BAJA,DACARE IPS S.A.S.,76111,True
7611112013,HENNEHNOFER ESCOBAR OSSA,CALLE 3 N° 13-51,3.8965386,-76.3022831,344,PSICOLOGÍA,NO,NO,NO,SI,PROFESIONAL INDEPENDIENTE,Privada,CONSULTA EXTERNA,BAJA,HENNEHNOFER ESCOBAR OSSA,76111,True
7611112429,AURA MILENA SANCHEZ FERNANDEZ,CARRERA 12 N° 6-54,3.8992291,-76.2997791,345,PSIQUIATRÍA,NO,NO,NO,NO,PROFESIONAL INDEPENDIENTE,Privada,CONSULTA EXTERNA,MEDIANA,AURA MILENA SANCHEZ FERNANDEZ,76111,True
7611113182,ECOSALUD DIAGNOSTICA,CALLE 6 N° 10-36,3.898346,-76.298561,344,PSICOLOGÍA,NO,NO,NO,NO,INSTITUCIONES PRESTADORAS DE SERVICIOS DE SALUD - IPS,Privada,CONSULTA EXTERNA,BAJA,ECOSALUD DIAGNOSTICA S.A.S,76111,True
7611113210,JAIME OLIVARES SANCHEZ,CALLE 4B N° 2-98,3.894664,-76.292995,344,PSICOLOGÍA,NO,NO,NO,NO,PROFESIONAL INDEPENDIENTE,Privada,CONSULTA EXTERNA,BAJA,JAIME OLIVARES SANCHEZ,76111,True
7611113244,JACQUELINE MONAR PEREZ,CARRERA 12 N° 6-54,3.8992291,-76.2997791,344,PSICOLOGÍA,NO,NO,NO,NO,PROFESIONAL INDEPENDIENTE,Privada,CONSULTA EXTERNA,BAJA,JACQUELINE MONAR PEREZ,76111,True
7611113395,KAREN VANESSA CASTAÑO ARCE,CALLE 8 C N° 21 B - 173,3.9098174,-76.2888895,344,PSICOLOGÍA,NO,NO,NO,NO,PROFESIONAL INDEPENDIENTE,Privada,CONSULTA EXTERNA,BAJA,KAREN VANESSA CASTAÑO ARCE,76111,True
7611113480,IPS DC COGNEXION S.A.S.,CALLE 6 N° 7-64,3.8973977,-76.2963662,344,PSICOLOGÍA,NO,NO,NO,NO,INSTITUCIONES PRESTADORAS DE SERVICIOS DE SALUD - IPS,Privada,CONSULTA EXTERNA,BAJA,IPS DC COGNEXION SAS,76111,True
7611113480,IPS DC COGNEXION S.A.S.,CALLE 6 N° 7-64,3.8973977,-76.2963662,345,PSIQUIATRÍA,NO,NO,NO,NO,INSTITUCIONES PRESTADORAS DE SERVICIOS DE SALUD - IPS,Privada,CONSULTA EXTERNA,MEDIANA,IPS DC COGNEXION SAS,76111,True
7611113485,JUAN SEBASTIAN ARAMBURO SCARPETTA,CARRERA 16 N° 5-53,3.8995389,-76.303676,344,PSICOLOGÍA,NO,NO,NO,NO,PROFESIONAL INDEPENDIENTE,Privada,CONSULTA EXTERNA,BAJA,JUAN SEBASTIAN ARAMBURO SCARPETTA,76111,True
7611113490,HEILLEN ZUÑIGA GIRON,CARRERA 16 N°5-53,3.8995389,-76.303676,344,PSICOLOGÍA,NO,NO,NO,NO,PROFESIONAL INDEPENDIENTE,Privada,CONSULTA EXTERNA,BAJA,HEILLEN ZUÑIGA GIRON,76111,True
7611113508,DIANA MARCELA AGUIRRE HOLGUIN,CARRERA 16 N° 5-53,3.8995389,-76.303676,344,PSICOLOGÍA,NO,NO,NO,NO,PROFESIONAL INDEPENDIENTE,Privada,CONSULTA EXTERNA,BAJA,DIANA MARCELA AGUIRRE HOLGUIN,76111,True
7611113521,MARISOL ARIAS LOPEZ,CALLE 2 N° 14-31,3.8958985,-76.3032197,344,PSICOLOGÍA,NO,NO,NO,NO,PROFESIONAL INDEPENDIENTE,Privada,CONSULTA EXTERNA,BAJA,MARISOL ARIAS LOPEZ,76111,True
7611113542,MARIA JOSÉ PINO ROMERO,CALLE 2 SUR N° 9 - 31,3.8926637,-76.2990048,344,PSICOLOGÍA,NO,NO,NO,NO,PROFESIONAL INDEPENDIENTE,Privada,CONSULTA EXTERNA,BAJA,MARIA JOSÉ PINO ROMERO,76111,True
7611113680,ANA GERMANIA RAMIREZ CASTRO,CALLE 3 N° 11-43,3.895956,-76.300268,344,PSICOLOGÍA,NO,NO,NO,NO,PROFESIONAL INDEPENDIENTE,Privada,CONSULTA EXTERNA,BAJA,ANA GERMANIA RAMIREZ CASTRO,76111,True
7611113774,ANGELICA MARIA RENGIFO ERAZO,CARRERA 8A N° 5 SUR 32,3.890421,-76.297297,345,PSIQUIATRÍA,NO,NO,NO,NO,PROFESIONAL INDEPENDIENTE,Privada,CONSULTA EXTERNA,MEDIANA,ANGELICA MARIA RENGIFO ERAZO,76111,True
7614700037,IPS COMFANDI BUGA,CARRERA 17 N° 5-18,3.8994315,-76.3046005,344,PSICOLOGÍA,NO,NO,NO,NO,INSTITUCIONES PRESTADORAS DE SERVICIOS DE SALUD - IPS,Privada,CONSULTA EXTERNA,BAJA,CAJA DE COMPENSACIÓN FAMILIAR DEL VALLE DEL CAUCA - COMFAMILIAR ANDI,76147,True
7631808492,CLINICA SANE BUGA,CARRERA 13 N° 4-49,3.8977044,-76.3014036,344,PSICOLOGÍA,NO,NO,NO,NO,INSTITUCIONES PRESTADORAS DE SERVICIOS DE SALUD - IPS,Privada,CONSULTA EXTERNA,BAJA,CLINICA SANE S.A.S.,76318,True
7636408260,OPORTUNIDAD DE VIDA SAS SEDE BUGA,CALLE 4 N° 22- 10,3.8995563,-76.3101384,344,PSICOLOGÍA,NO,NO,NO,NO,INSTITUCIONES PRESTADORAS DE SERVICIOS DE SALUD - IPS,Privada,CONSULTA EXTERNA,BAJA,OPORTUNIDAD DE VIDA SAS,76364,True
7636408260,OPORTUNIDAD DE VIDA SAS SEDE BUGA,CALLE 4 N° 22- 10,3.8995563,-76.3101384,345,PSIQUIATRÍA,NO,NO,NO,SI,INSTITUCIONES PRESTADORAS DE SERVICIOS DE SALUD - IPS,Privada,CONSULTA EXTERNA,MEDIANA,OPORTUNIDAD DE VIDA SAS,76364,True
7652000729,RTS SUCURSAL BUGA,CARRERA 12 N° 8 SUR 89,3.9008475,-76.2994929,344,PSICOLOGÍA,NO,NO,NO,NO,INSTITUCIONES PRESTADORAS DE SERVICIOS DE SALUD - IPS,Privada,CONSULTA EXTERNA,BAJA,RTS S.A.S,76520,True
