origin_cod_mpio,origin_departamento,origin_municipio,dest_cod_mpio,dest_departamento,dest_municipio,haversine_km,travel_time_proxy_min,selected_within_240min,selected_topk,same_municipality,dest_sedes_reps,dest_sedes_ips_reps,dest_prestadores_reps,within_60min,within_120min,within_180min,within_240min
05001,Antioquia,Medellín,05001,Antioquia,Medellín,0.0,10.0,True,True,True,10056.0,1200.0,8077.0,True,True,True,True
05001,Antioquia,Medellín,05360,Antioquia,Itagüí,8.714847508537254,16.848705183172026,True,True,False,470.0,55.0,420.0,True,True,True,True
05001,Antioquia,Medellín,05088,Antioquia,Bello,11.506193772204073,22.24530795959454,True,True,False,569.0,95.0,510.0,True,True,True,True
05001,Antioquia,Medellín,05631,Antioquia,Sabaneta,13.26857367720678,25.65257577593311,True,True,False,402.0,51.0,378.0,True,True,True,True
05001,Antioquia,Medellín,05266,Antioquia,Envigado,13.548668190756969,26.194091835463475,True,True,False,929.0,100.0,849.0,True,True,True,True
05001,Antioquia,Medellín,05380,Antioquia,La Estrella,13.98163549712602,27.031161961110303,True,True,False,80.0,12.0,75.0,True,True,True,True
05001,Antioquia,Medellín,05347,Antioquia,Heliconia,16.06015623980626,31.049635396958774,True,True,False,2.0,1.0,2.0,True,True,True,True
05001,Antioquia,Medellín,05212,Antioquia,Copacabana,16.07238089506462,31.073269730458257,True,True,False,137.0,10.0,132.0,True,True,True,True
05001,Antioquia,Medellín,05036,Antioquia,Angelópolis,19.071951463310594,36.872439495733815,True,True,False,3.0,1.0,3.0,True,True,True,True
05001,Antioquia,Medellín,05318,Antioquia,Guarne,19.227877862666826,37.17389720115587,True,True,False,81.0,11.0,78.0,True,True,True,True
05001,Antioquia,Medellín,05240,Antioquia,Ebéjico,20.52258427827515,39.67699627133196,True,True,False,5.0,2.0,4.0,True,True,True,True
05001,Antioquia,Medellín,05308,Antioquia,Girardota,22.570806986846787,43.63689350790379,True,True,False,92.0,7.0,87.0,True,True,True,True
05001,Antioquia,Medellín,05129,Antioquia,Caldas,22.650995249567167,43.79192414916319,True,True,False,151.0,13.0,142.0,True,True,True,True
05001,Antioquia,Medellín,05656,Antioquia,San Jerónimo,22.711411631312153,43.90872915387016,True,True,False,19.0,2.0,19.0,True,True,True,True
05001,Antioquia,Medellín,05664,Antioquia,San Pedro de Los Milagros,22.794599582366516,44.06955919257526,True,True,False,57.0,7.0,55.0,True,True,True,True
05001,Antioquia,Medellín,05059,Antioquia,Armenia,24.342171545553825,47.061531654737394,True,True,False,2.0,1.0,2.0,True,True,True,True
05001,Antioquia,Medellín,05607,Antioquia,Retiro,25.08417481211684,48.496071303425886,True,True,False,64.0,8.0,61.0,True,True,True,True
05001,Antioquia,Medellín,05615,Antioquia,Rionegro,25.12363721130198,48.57236527518382,True,True,False,902.0,139.0,801.0,True,True,True,True
05001,Antioquia,Medellín,05030,Antioquia,Amagá,27.18503617531975,52.557736605618175,True,True,False,40.0,6.0,40.0,True,True,True,True
05001,Antioquia,Medellín,05809,Antioquia,Titiribí,30.4248460693627,58.82136906743456,True,True,False,4.0,1.0,4.0,True,True,True,True
05001,Antioquia,Medellín,05674,Antioquia,San Vicente,31.894341790190445,61.66239412770152,True,True,False,24.0,1.0,24.0,False,True,True,True
05001,Antioquia,Medellín,05761,Antioquia,Sopetrán,32.77556441181928,63.36609119618394,True,True,False,9.0,1.0,9.0,False,True,True,True
05001,Antioquia,Medellín,05044,Antioquia,Anzá,33.798954954494036,65.34464624535514,True,True,False,4.0,1.0,4.0,False,True,True,True
05001,Antioquia,Medellín,05440,Antioquia,Marinilla,34.756460300272686,67.19582324719386,True,True,False,198.0,7.0,174.0,False,True,True,True
05001,Antioquia,Medellín,05376,Antioquia,La Ceja,35.57410243238099,68.77659803593657,True,True,False,197.0,16.0,189.0,False,True,True,True
05001,Antioquia,Medellín,05079,Antioquia,Barbosa,37.374364846614974,72.25710537012229,True,True,False,72.0,6.0,69.0,False,True,True,True
05001,Antioquia,Medellín,05264,Antioquia,Entrerríos,37.911774704597825,73.29609776222246,True,True,False,26.0,3.0,26.0,False,True,True,True
05001,Antioquia,Medellín,05861,Antioquia,Venecia,38.190984493771886,73.83590335462566,True,True,False,10.0,2.0,9.0,False,True,True,True
05001,Antioquia,Medellín,05237,Antioquia,Donmatías,38.94307109021537,75.28993744108304,True,True,False,36.0,2.0,34.0,False,True,True,True
05001,Antioquia,Medellín,05209,Antioquia,Concordia,38.94562720710733,75.29487926707417,True,True,False,30.0,3.0,30.0,False,True,True,True
05001,Antioquia,Medellín,05093,Antioquia,Betulia,39.01285387879936,75.42485083234544,True,True,False,8.0,2.0,7.0,False,True,True,True
05001,Antioquia,Medellín,05467,Antioquia,Montebello,39.2098510437676,75.8057120179507,True,True,False,4.0,1.0,4.0,False,True,True,True
05001,Antioquia,Medellín,05282,Antioquia,Fredonia,41.875549811024975,80.95939630131495,True,True,False,25.0,4.0,25.0,False,True,True,True
05001,Antioquia,Medellín,05679,Antioquia,Santa Bárbara,42.211226679091745,81.60837157957737,True,True,False,11.0,1.0,11.0,False,True,True,True
05001,Antioquia,Medellín,05697,Antioquia,El Santuario,42.3449081375031,81.86682239917266,True,True,False,75.0,7.0,71.0,False,True,True,True
05001,Antioquia,Medellín,05541,Antioquia,Peñol,42.92731694972298,82.99281276946442,True,False,False,33.0,1.0,33.0,False,True,True,True
05001,Antioquia,Medellín,05501,Antioquia,Olaya,43.345559259480524,83.80141456832901,True,False,False,2.0,2.0,1.0,False,True,True,True
05001,Antioquia,Medellín,05086,Antioquia,Belmira,44.30631115756127,85.6588682379518,True,False,False,6.0,1.0,6.0,False,True,True,True
05001,Antioquia,Medellín,05042,Antioquia,Santafé de Antioquia,44.791791721612285,86.59746399511708,True,False,False,48.0,6.0,45.0,False,True,True,True
05001,Antioquia,Medellín,05400,Antioquia,La Unión,45.27210070443115,87.52606136190023,True,False,False,52.0,8.0,51.0,False,True,True,True
