cod_mpio,departamento,municipio,baseline_gap_recomputed
27099,Chocó,Bojayá,4.731522695305266
99524,Vichada,La Primavera,4.60900355602355
97001,Vaupés,Mitú,3.1692061047144096
91407,Amazonas,La Pedrera (ANM),2.687511880559887
95200,Guaviare,Miraflores,2.516616306165232
54800,Norte de Santander,Teorama,2.4731213909841587
25871,Cundinamarca,Villagómez,2.4231168139921797
73873,Tolima,Villarrica,2.4210922287002363
94001,Guainía,Inírida,2.298821721357945
44430,La Guajira,Maicao,2.2923843801995893
19517,Cauca,Páez,1.9866459188538155
85136,Casanare,La Salina,1.9628098558871279
